filme;nota;;;;;;
02:13;2,6;;;;;;
11:14;3,4;;;;;;
9;3,3;;;;;;
21;3;;;;;;
42;3,6;;;;;;
54;2,7;;;;;;
300;3,3;;;;;;
1408;3,2;;;;;;
1776;3,5;;;;;;
1911;2,6;;;;;;
1941;2,6;;;;;;
1982;3,4;;;;;;
2012;2,4;;;;;;
2046;4;;;;;;
#Horror;1,4;;;;;;
$upercapitalist;-;;;;;;
(500) Days of Summer;3,7;;;;;;
...E tu vivrai nel terrore! L'aldilà;3,6;;;;;;
[REC];3,7;;;;;;
[REC]²;3,1;;;;;;
10 Cloverfield Lane;3,6;;;;;;
10 Days in a Madhouse;2,9;;;;;;
10 Things I Hate About You;4;;;;;;
102 Dalmatians;2,3;;;;;;
10th & Wolf;2,8;;;;;;
12 Angry Men;4,5;;;;;;
12 Rounds;2,3;;;;;;
12 Years a Slave;4,1;;;;;;
127 Hours;3,5;;;;;;
13 Going on 30;3,6;;;;;;
13 Hours: The Secret Soldiers of Benghazi;3,2;;;;;;
15 Minutes;2,6;;;;;;
16 Blocks;3;;;;;;
16 to Life;3,1;;;;;;
17 Again;2,8;;;;;;
1947: Earth;3,2;;;;;;
2 Fast 2 Furious;2,8;;;;;;
2 Guns;2,9;;;;;;
20 Dates;2,6;;;;;;
20 Feet from Stardom;3,6;;;;;;
20,000 Leagues Under the Sea;3,5;;;;;;
200 Cigarettes;2,9;;;;;;
2001: A Space Odyssey;4,3;;;;;;
2016: Obama's America;1,7;;;;;;
21 & Over;2,5;;;;;;
21 Grams;3,6;;;;;;
21 Jump Street;3,5;;;;;;
22 Jump Street;3,3;;;;;;
24 7: Twenty Four Seven;-;;;;;;
25th Hour;3,8;;;;;;
27 Dresses;3;;;;;;
28 Days;2,9;;;;;;
28 Days Later;3,7;;;;;;
28 Weeks Later;3,1;;;;;;
3 Backyards;2,9;;;;;;
3 Days to Kill;2,5;;;;;;
3 Ninjas Kick Back;2,3;;;;;;
3 Strikes;2,5;;;;;;
3:10 to Yuma;3,6;;;;;;
30 Days of Night;3,1;;;;;;
30 Minutes or Less;2,6;;;;;;
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo;1,3;;;;;;
300: Rise of an Empire;2,5;;;;;;
3000 Miles to Graceland;2,6;;;;;;
4 luni, 3 săptămîni și 2 zile;4,1;;;;;;
4: Rise of the Silver Surfer;2,2;;;;;;
40 Days and 40 Nights;2,3;;;;;;
42nd Street;3,5;;;;;;
47 Ronin;2,5;;;;;;
5 Days of War;2,5;;;;;;
50 First Dates;3,2;;;;;;
50/50;3,6;;;;;;
51 Birch Street;3,4;;;;;;
55 Days at Peking;3;;;;;;
8 Days;2,2;;;;;;
8 femmes;3,7;;;;;;
8 Heads in a Duffel Bag;2,4;;;;;;
8 Mile;3,5;;;;;;
8: The Mormon Proposition;3,3;;;;;;
88 Minutes;2,2;;;;;;
8MM;3,1;;;;;;
90 Minutes in Heaven;2,2;;;;;;
A Beautiful Mind;3,8;;;;;;
A Beginner's Guide to Snuff;2,8;;;;;;
A Better Life;3,4;;;;;;
A Bridge Too Far;3,6;;;;;;
A Bug's Life;3,4;;;;;;
A Charlie Brown Christmas;4,1;;;;;;
A Christmas Carol;3,1;;;;;;
A Christmas Story;3,7;;;;;;
A Cinderella Story;3,2;;;;;;
A Civil Action;3;;;;;;
A Cock and Bull Story;3,4;;;;;;
A Dangerous Method;3,1;;;;;;
A Dog Of Flanders;2,9;;;;;;
A Dog's Breakfast;3,2;;;;;;
A escondidas;3,4;;;;;;
A Farewell to Arms;3,3;;;;;;
A Few Good Men;3,9;;;;;;
A Fine Step;-;;;;;;
A Funny Thing Happened on the Way to the Forum;3,2;;;;;;
A Good Day to Die Hard;1,9;;;;;;
A Good Year;3,1;;;;;;
A Guy Named Joe;3,3;;;;;;
A Guy Thing;2,3;;;;;;
A Hard Day's Night;3,8;;;;;;
A Haunted House;2,1;;;;;;
A Haunted House 2;1,9;;;;;;
A History of Violence;3,7;;;;;;
A Home at the End of the World;3,1;;;;;;
A Knight's Tale;3,5;;;;;;
A League of Their Own;3,8;;;;;;
A LEGO Brickumentary;3,3;;;;;;
A Lonely Place to Die;2,8;;;;;;
A Lot Like Love;3,2;;;;;;
