titlelb;publicscore;id
#Horror;1,4;301325
$upercapitalist;-;119458
(500) Days of Summer;3,7;19913
...E tu vivrai nel terrore! L'aldilà;3,6;19204
[REC];3,7;8329
[REC]²;3,1;10664
02:13;2,6;39303
10 Cloverfield Lane;3,6;333371
10 Days in a Madhouse;2,9;345003
10 Things I Hate About You;4;4951
102 Dalmatians;2,3;10481
10th & Wolf;2,8;13197
11:14;3,4;9282
12 Angry Men;4,5;389
12 Rounds;2,3;17134
12 Years a Slave;4,1;76203
127 Hours;3,5;44115
13 Going on 30;3,6;10096
13 Hours: The Secret Soldiers of Benghazi;3,2;300671
1408;3,2;3021
15 Minutes;2,6;2749
16 Blocks;3;2207
16 to Life;3,1;91122
17 Again;2,8;16996
1776;3,5;14902
1911;2,6;76349
1941;2,6;11519
1947: Earth;3,2;7504
1982;3,4;215918
2 Fast 2 Furious;2,8;584
2 Guns;2,9;136400
20 Dates;2,6;111794
20 Feet from Stardom;3,6;159014
20,000 Leagues Under the Sea;3,5;173
200 Cigarettes;2,9;15256
2001: A Space Odyssey;4,3;62
2012;2,4;14161
2016: Obama's America;1,7;126509
2046;4;844
21;3;8065
21 & Over;2,5;107811
21 Grams;3,6;470
21 Jump Street;3,5;64688
22 Jump Street;3,3;187017
24 7: Twenty Four Seven;-;22913
25th Hour;3,8;1429
27 Dresses;3;6557
28 Days;2,9;10468
28 Days Later;3,7;170
28 Weeks Later;3,1;1562
3 Backyards;2,9;68412
3 Days to Kill;2,5;192102
3 Ninjas Kick Back;2,3;18885
3 Strikes;2,5;47816
3:10 to Yuma;3,6;5176
30 Days of Night;3,1;4513
30 Minutes or Less;2,6;62206
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo;1,3;157058
300;3,3;1271
300: Rise of an Empire;2,5;53182
3000 Miles to Graceland;2,6;12138
4 luni, 3 săptămîni și 2 zile;4,1;2009
4: Rise of the Silver Surfer;2,2;1979
40 Days and 40 Nights;2,3;2752
42;3,6;109410
42nd Street;3,5;3062
47 Ronin;2,5;64686
5 Days of War;2,5;50601
50 First Dates;3,2;1824
50/50;3,6;40807
51 Birch Street;3,4;79161
54;2,7;3682
55 Days at Peking;3;27759
8 Days;2,2;433715
8 femmes;3,7;1958
8 Heads in a Duffel Bag;2,4;13982
8 Mile;3,5;65
8: The Mormon Proposition;3,3;40428
88 Minutes;2,2;3489
8MM;3,1;8224
9;3,3;12244
90 Minutes in Heaven;2,2;343795
A Beautiful Mind;3,8;453
A Beginner's Guide to Snuff;2,8;386826
A Better Life;3,4;55720
A Bridge Too Far;3,6;5902
A Bug's Life;3,4;9487
A Charlie Brown Christmas;4,1;13187
A Christmas Carol;3,1;17979
A Christmas Story;3,7;850
A Cinderella Story;3,2;11247
A Civil Action;3;9422
A Cock and Bull Story;3,4;8435
A Dangerous Method;3,1;48231
A Dog Of Flanders;2,9;104896
A Dog's Breakfast;3,2;18632
A escondidas;3,4;258755
A Farewell to Arms;3,3;22649
A Few Good Men;3,9;881
A Fine Step;-;248402
A Funny Thing Happened on the Way to the Forum;3,2;17768
A Good Day to Die Hard;1,9;47964
A Good Year;3,1;9726
A Guy Named Joe;3,3;43306
A Guy Thing;2,3;9582
A Hard Day's Night;3,8;704
A Haunted House;2,1;139038
A Haunted House 2;1,9;184345
A History of Violence;3,7;59
A Home at the End of the World;3,1;18923
A Knight's Tale;3,5;9476
A League of Their Own;3,8;11287
A LEGO Brickumentary;3,3;251471
A Lonely Place to Die;2,8;81390
A Lot Like Love;3,2;8976
A Low Down Dirty Shame;2,7;26352
A Madea Christmas;2,4;175555
A Man Apart;2,6;8409
A Man for All Seasons;3,7;874
A Mighty Heart;3,1;1988
A Mighty Wind;3,6;13370
A Million Ways to Die in the West;2,3;188161
A Most Violent Year;3,5;241239
A Most Wanted Man;3,3;157849
A Night at the Roxbury;2,8;9429
A Nightmare on Elm Street;3,8;377
A Nightmare on Elm Street 3: Dream Warriors;3,6;10072
A Nightmare on Elm Street 4: The Dream Master;2,8;10131
A Nightmare on Elm Street 5: The Dream Child;2,3;10160
A Nightmare on Elm Street Part 2: Freddy's Revenge;2,9;10014
A Passage to India;3,5;15927
A Perfect Getaway;3;12403
A Prairie Home Companion;3,3;9526
A Room for Romeo Brass;3,8;22908
A Room with a View;3,7;11257
A Scanner Darkly;3,5;3509
A Separation;4,2;60243
A Serious Man;3,8;12573
A Shine of Rainbows;3,2;37206
A Simple Plan;3,8;10223
A Simple Wish;2,6;17834
A Single Man;3,8;34653
A Sound of Thunder;1,7;10077
A Streetcar Named Desire;3,9;702
A Tale of Three Cities;3,1;358451
A Thin Line Between Love and Hate;2,7;28121
A Thousand Words;2,3;72358
A Time to Kill;3,6;1645
A True Story;-;222250
A Very Harold & Kumar Christmas;2,8;55465
A Very Long Engagement;3,6;2841
A View to a Kill;2,8;707
A Walk Among the Tombstones;3;169917
A Walk on the Moon;3,1;28029
A Walk to Remember;3,3;10229
A Woman, a Gun and a Noodle Shop;2,8;44555
A.I. Artificial Intelligence;3,5;644
Abandon;2,2;15992
Abandoned;2,3;356987
ABCD;2,7;157293
Abduction;2;59965
Aberdeen;3,4;26665
About a Boy;3,4;245
About Last Night;3;222899
About Schmidt;3,5;2755
About Time;3,9;122906
Abraham Lincoln: Vampire Hunter;2,4;72331
Absentia;3,1;74777
Absolute Power;3,1;66
Accidental Love;1,7;316002
Ace Ventura: Pet Detective;3,1;3049
Ace Ventura: When Nature Calls;2,9;9273
Across the Universe;3,4;4688
Act of Valor;2,5;75674
Action Jackson;2,9;10117
Adam;3,3;22051
Adam Resurrected;3;18516
Adaptation.;4;2757
Addicted;1,9;235271
Admission;2,5;144340
Adore;2,6;111190
Adulterers;2,3;376004
Adventureland;3,3;16614
Æon Flux;2,3;8202
After;2,5;118612
After Earth;1,7;82700
After the Sunset;2,7;10589
After.Life;2,6;36419
Against the Ropes;2,3;8842
Against the Wild;2,6;246449
Agent Cody Banks;2,3;10923
Agent Cody Banks 2: Destination London;2,1;17047
Agora;3,4;26428
Aimee & Jaguar;3,7;2211
Air Bud;2,5;20737
Air Force One;3,2;9772
Airborne;2,8;13064
Airlift;3,3;375290
Airplane!;3,8;813
Ajami;3,5;24424
Akeelah and the Bee;3,4;13751
Akira;4,2;149
Aladdin;3,9;812
Alatriste;2,9;13495
Albert Nobbs;3;73873
Albino Alligator;2,8;8744
Alex & Emma;2,3;17813
Alex Cross;1,9;94348
Alexander;2,6;1966
alexander and the terrible horrible no good very bad day;2,6;218778
Alexander's Ragtime Band;3,1;43839
Alfie;3,4;8849
Ali;3,4;8489
Alice in Wonderland;3;12155
Alice Through the Looking Glass;2,7;241259
Alien;4,3;348
Alien Zone;2,7;77156
Alien: Resurrection;2,6;8078
Alien³;2,9;8077
Aliens;4,1;679
Aliens in the Attic;2,3;20856
Aliens vs Predator: Requiem;1,7;440
Alive;3,3;7305
All About Steve;1,9;23706
All About the Benjamins;2,7;13950
All Good Things;2,8;46503
All Hat;-;10914
All Is Bright;2,6;174311
All Is Lost;3,5;152747
All or Nothing;3,8;12454
All Superheroes Must Die;2,3;86304
All That Jazz;4,2;16858
All the Boys Love Mandy Lane;2,7;9022
All the King's Men;2,6;1717
All the Pretty Horses;2,7;21355
All The Queen's Men;2,5;31668
All the Real Girls;3,6;13132
Allegiant;2,2;262504
Alleluia! The Devil's Carnival;3,3;285743
Almost Famous;4;786
Aloft;2,6;251321
Aloha;2,2;222936
Alone in the Dark;3,2;12142
Alone With Her;2,9;18206
Along Came a Spider;2,9;2043
Along Came Polly;2,8;5966
Along the Roadside;3,2;173224
Alpha and Omega;1,8;12819
Alpha and Omega: The Legend of the Saw Tooth Cave;1,8;294512
Alvin and the Chipmunks;2,4;6477
Alvin and the Chipmunks: Chipwrecked;2;55301
Alvin and the Chipmunks: The Road Chip;1,9;258509
Alvin and the Chipmunks: The Squeakquel;2;23398
